Time,Action,File
Monitoring,started:,E:/damnnn
[23:53:19],CREATED:,New,folder
[23:53:26],MODIFIED:,New,folder
[23:54:07],CREATED:,desktop.ini
[23:54:15],MODIFIED:,desktop.ini
[23:54:18],MODIFIED:,New,folder
[23:54:21],MODIFIED:,desktop.ini
[23:54:23],MODIFIED:,New,folder
[23:54:24],MODIFIED:,desktop.ini
[23:54:26],MODIFIED:,New,folder
[23:54:27],MODIFIED:,desktop.ini
[23:54:30],MODIFIED:,New,folder
[23:54:42],MODIFIED:,desktop.ini
[23:54:44],MODIFIED:,New,folder
[23:54:46],MODIFIED:,desktop.ini
[23:54:48],MODIFIED:,New,folder
[23:54:49],DELETED:,New,folder
[23:55:25],CREATED:,New,folder
[23:55:30],MODIFIED:,New,folder
[23:55:59],MODIFIED:,p
[23:56:14],DELETED:,p
